file,split
bg_coco_000000509483.jpg,train
bg_coco_000000044831.jpg,train
bg_coco_000000411926.jpg,train
bg_coco_000000168076.jpg,train
bg_coco_000000393195.jpg,train
bg_coco_000000140092.jpg,train
bg_coco_000000367120.jpg,train
bg_coco_000000108123.jpg,train
bg_coco_000000113649.jpg,train
bg_coco_000000309568.jpg,train
bg_coco_000000263400.jpg,train
bg_coco_000000327000.jpg,train
bg_coco_000000132165.jpg,train
bg_coco_000000231604.jpg,train
bg_coco_000000390129.jpg,train
bg_coco_000000487962.jpg,train
bg_coco_000000535126.jpg,train
bg_coco_000000134479.jpg,train
bg_coco_000000116220.jpg,train
bg_coco_000000379965.jpg,train
bg_coco_000000299029.jpg,train
bg_coco_000000165883.jpg,train
bg_coco_000000319487.jpg,train
bg_coco_000000117937.jpg,train
bg_coco_000000004175.jpg,train
bg_coco_000000106525.jpg,train
bg_coco_000000496793.jpg,train
bg_coco_000000537543.jpg,train
bg_coco_000000449270.jpg,train
bg_coco_000000371608.jpg,train
bg_coco_000000411241.jpg,train
bg_coco_000000118406.jpg,train
bg_coco_000000216837.jpg,train
bg_coco_000000320987.jpg,train
bg_coco_000000519977.jpg,train
bg_coco_000000241851.jpg,train
bg_coco_000000407386.jpg,train
bg_coco_000000018816.jpg,train
bg_coco_000000473340.jpg,train
bg_coco_000000194528.jpg,train
bg_coco_000000459265.jpg,train
bg_coco_000000523753.jpg,train
bg_coco_000000287239.jpg,train
bg_coco_000000211823.jpg,train
bg_coco_000000371376.jpg,train
bg_coco_000000037343.jpg,train
bg_coco_000000055460.jpg,train
bg_coco_000000535125.jpg,train
bg_coco_000000206857.jpg,train
bg_coco_000000080041.jpg,train
bg_coco_000000140322.jpg,train
bg_coco_000000521355.jpg,train
bg_coco_000000088929.jpg,train
bg_coco_000000570738.jpg,train
bg_coco_000000087230.jpg,train
bg_coco_000000142744.jpg,train
bg_coco_000000183240.jpg,train
bg_coco_000000506342.jpg,train
bg_coco_000000234743.jpg,train
bg_coco_000000551358.jpg,train
bg_coco_000000177915.jpg,train
bg_coco_000000118542.jpg,train
bg_coco_000000468043.jpg,train
bg_coco_000000015073.jpg,train
bg_coco_000000464845.jpg,train
bg_coco_000000532976.jpg,train
bg_coco_000000448236.jpg,train
bg_coco_000000112622.jpg,train
bg_coco_000000228794.jpg,train
bg_coco_000000043712.jpg,train
bg_coco_000000219966.jpg,train
bg_coco_000000574717.jpg,train
bg_coco_000000380395.jpg,train
bg_coco_000000007150.jpg,train
bg_coco_000000416248.jpg,train
bg_coco_000000398882.jpg,train
bg_coco_000000068136.jpg,train
bg_coco_000000112989.jpg,train
bg_coco_000000359164.jpg,train
bg_coco_000000434394.jpg,train
bg_coco_000000140340.jpg,train
bg_coco_000000372374.jpg,train
bg_coco_000000213596.jpg,train
bg_coco_000000081143.jpg,train
bg_coco_000000160163.jpg,train
bg_coco_000000264110.jpg,train
bg_coco_000000111988.jpg,train
bg_coco_000000128607.jpg,train
bg_coco_000000447573.jpg,train
bg_coco_000000146162.jpg,train
bg_coco_000000082457.jpg,train
